"id";"project_id";"LOOP_RATE";"POINT_STEP";"QUERY_INTERVAL";"OPERATION";"Latency_AVG"
"188";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_55_40_570";"10";"5000";"1150000";"AGG_RANGE_QUERY";"771.59"
"196";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_56_05_081";"10";"5000";"1200000";"AGG_RANGE_QUERY";"771.99"
"204";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_56_29_186";"10";"5000";"1250000";"AGG_RANGE_QUERY";"773.71"
"212";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_56_53_404";"10";"5000";"1300000";"AGG_RANGE_QUERY";"769.68"
"220";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_57_17_998";"10";"5000";"1350000";"AGG_RANGE_QUERY";"780.17"
"228";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_57_42_534";"10";"5000";"1400000";"AGG_RANGE_QUERY";"801.12"
"236";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_58_07_490";"10";"5000";"1450000";"AGG_RANGE_QUERY";"775.56"
"244";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_58_32_191";"10";"5000";"1500000";"AGG_RANGE_QUERY";"782.82"
"252";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_58_57_040";"10";"5000";"1550000";"AGG_RANGE_QUERY";"785.95"
"260";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_59_21_554";"10";"5000";"1600000";"AGG_RANGE_QUERY";"793.87"
"268";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_59_47_433";"10";"5000";"1650000";"AGG_RANGE_QUERY";"798.74"
"276";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_00_12_514";"10";"5000";"1700000";"AGG_RANGE_QUERY";"800.74"
"284";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_00_38_749";"10";"5000";"1750000";"AGG_RANGE_QUERY";"809.35"
"292";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_01_03_409";"10";"5000";"1800000";"AGG_RANGE_QUERY";"795.96"
"300";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_01_29_386";"10";"5000";"1850000";"AGG_RANGE_QUERY";"813.61"
"308";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_01_54_050";"10";"5000";"1900000";"AGG_RANGE_QUERY";"794.86"
"316";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_02_18_909";"10";"5000";"1950000";"AGG_RANGE_QUERY";"793.02"
"324";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_02_43_469";"10";"5000";"2000000";"AGG_RANGE_QUERY";"802.62"
